ticker,delta_RE,p_value,significant,r2,epsilon,n_obs
MSI.N,0.042073,0.7423,False,0.0008,0.067432,134
RMD.N,0.053747,0.7162,False,0.001,0.07789,134
RVTY.N,-0.007261,0.963,False,0.0,0.08243,134
STE.N,0.111757,0.3657,False,0.0062,0.06501,134
SYK.N,-0.003719,0.9741,False,0.0,0.060446,134
TMO.N,-0.113674,0.3707,False,0.0061,0.066827,134
WAT.N,-0.087648,0.5744,False,0.0024,0.082202,134
WST.N,-0.293681,0.0667,False,0.0252,0.083866,134
ZBH.N,-0.011571,0.9344,False,0.0001,0.074092,134
ACN.N,-0.123145,0.3421,False,0.0068,0.068204,134
ADBE.O,-0.124286,0.4446,False,0.0044,0.085594,134
AFL.N,0.250811,0.0265,True,0.0368,0.059014,134
ABNB.O,0.050437,0.8578,False,0.0005,0.11121,63
ALL.N,0.053528,0.6338,False,0.0017,0.059196,134
GOOGL.O,-0.127969,0.3566,False,0.0064,0.073042,134
GOOG.O,-0.131405,0.3421,False,0.0068,0.072774,134
MO.N,0.135667,0.2761,False,0.009,0.065511,134
AMZN.O,-0.318191,0.0543,False,0.0278,0.086527,134
AXP.N,0.137854,0.3267,False,0.0073,0.073939,134
AIG.N,0.248306,0.1123,False,0.019,0.082024,134
APP.O,-0.674932,0.3266,False,0.0169,0.237921,59
ACGL.N,0.308653,0.1635,False,0.0208,0.10266,95
AIZ.N,-0.056825,0.6304,False,0.0018,0.06222,134
ADSK.O,-0.131876,0.4772,False,0.0038,0.097695,134
BAC.N,0.100698,0.5199,False,0.0031,0.082403,134
BKNG.N,0.002772,0.9884,False,0.0,0.088867,95
CDNS.O,-0.212361,0.1428,False,0.0162,0.076065,134
COF.N,0.101965,0.5554,False,0.0026,0.091085,134
CCL.N,0.220393,0.4478,False,0.0044,0.152855,134
SCHW.N,0.178216,0.2854,False,0.0086,0.087731,134
CMG.N,-0.312751,0.0989,False,0.0205,0.099377,134
CB.N,0.237837,0.0257,True,0.0371,0.055671,134
CINF.N,0.143759,0.3694,False,0.0087,0.074454,95
C.N,0.090924,0.598,False,0.0021,0.090842,134
CFG.N,0.279506,0.1409,False,0.0164,0.09963,134
CTSH.N,-0.141265,0.4001,False,0.0076,0.078071,95
STZ.N,0.014466,0.9105,False,0.0001,0.067815,134
DRI.N,0.047929,0.7611,False,0.0007,0.083073,134
DDOG.O,-0.194139,0.5703,False,0.0043,0.147808,78
EBAY.O,0.003444,0.9837,False,0.0,0.088864,134
EPAM.N,-0.549039,0.0196,True,0.0406,0.122724,134
EXPE.N,0.220062,0.428,False,0.0068,0.129143,95
FICO.N,-0.189456,0.2923,False,0.0084,0.09461,134
FITB.N,0.213462,0.3057,False,0.0113,0.096814,95
IT.N,-0.197009,0.2576,False,0.0097,0.091489,134
GL.N,0.055146,0.6533,False,0.0015,0.064685,134
GS.N,0.118629,0.4465,False,0.0044,0.082041,134
