ticker,index_used,delta_RE,p_value,significant,r2,epsilon,delta_market,n_obs
ABT.N,SMM,-0.011588,0.9024,False,0.3212,0.04953,0.6299,134
A.N,SMM,-0.146267,0.1215,False,0.5562,0.049303,1.0185,134
ALGN.O,SMM,-0.166086,0.4005,False,0.4168,0.103437,1.6166,134
BAX.N,SMM,-0.035741,0.7913,False,0.1669,0.070816,0.5863,134
BDX.N,SMM,0.008854,0.9305,False,0.1802,0.053236,0.4607,134
TECH.N,SMM,0.00116,0.9942,False,0.4619,0.073282,1.1287,95
BSX.N,SMM,-0.172916,0.0901,False,0.2869,0.053198,0.6135,134
BR.N,SMM,-0.130498,0.1785,False,0.3887,0.050687,0.7441,134
CRL.N,SMM,-0.09464,0.4882,False,0.443,0.071519,1.1799,134
CSCO.O,SMM,0.075205,0.4532,False,0.3585,0.052513,0.7192,134
COO.N,SMM,0.203659,0.5417,False,0.3335,0.064788,0.9618,30
DHR.N,SMM,-0.172651,0.0587,False,0.3941,0.047568,0.7011,134
DXCM.O,SMM,-0.407845,0.1118,False,0.1207,0.133833,0.8662,134
EW.N,SMM,-0.191908,0.1994,False,0.2101,0.078167,0.7352,134
FFIV.O,SMM,0.075769,0.5447,False,0.3065,0.065548,0.7994,134
GEHC.N,SMM,-0.10961,0.7062,False,0.3856,0.068091,1.097,39
HOLX.O,SMM,-0.208968,0.0814,False,0.3161,0.062512,0.7742,134
IDXX.O,SMM,-0.103837,0.4486,False,0.3762,0.071767,1.0306,134
PODD.O,SMM,-0.023952,0.9048,False,0.18,0.105021,0.91,134
ISRG.O,SMM,-0.340388,0.0065,True,0.4141,0.064633,0.9764,134
IQV.N,SMM,-0.160279,0.1852,False,0.4751,0.063221,1.11,134
LITE.O,SMM,-0.030793,0.9169,False,0.1447,0.150692,1.1298,128
MDT.N,SMM,0.01787,0.8535,False,0.2951,0.050755,0.6058,134
MTD.N,SMM,-0.140787,0.1808,False,0.4941,0.054973,1.0029,134
MSI.N,SMM,0.001721,0.9874,False,0.2883,0.056911,0.6692,134
