Date,NVDA.O,AAPL.O,GOOG.O,GOOGL.O,AVGO.O,TSLA.O,MU.O,AMD.O,AMAT.O,LRCX.O,INTC.O,KLAC.O,TXN.O,ADI.O,QCOM.O,RTX.N,BA.N,LMT.N,NOC.N,GD.N,CAT.N,GE.N,ETN.N,PH.N,HWM.N,FCX.N,WDC.O,STX.O,HON.O,.MVREMXTR,MARKET,CSI_RE
2016-04-05,0.021001600771837575,0.016383990345531393,0.013427517234880077,0.013675157791642521,0.015722790446976335,0.02367338117628277,0.032420333205680045,0.07816363829764211,0.016844280809719215,0.013898434047818592,0.010287090152813014,0.008537155994059971,0.011529312804533974,0.011994270568798888,0.014506013276465987,0.0082159154254839,0.010962553051811944,0.00698243902346793,0.0077610902262462474,0.009934484814524098,0.014868460488612028,0.007132256730047154,0.015686769703497014,0.010809400533961795,0.024429775975468138,0.05091580727158547,0.033535721594272164,0.05988035098106807,0.0086337825991109,0.0165451405991348,0.010157827388819622,
2016-04-06,0.02111927970060582,0.016533974463795904,0.013492437719575074,0.013667728273464044,0.015504690478465276,0.024192601219999568,0.033249110991084276,0.07639191144764598,0.017176475949990777,0.014607030123199914,0.010244720777049425,0.009176836017577121,0.011536655675186415,0.012035233413552919,0.01595690687150691,0.008301427391791408,0.010970981845944448,0.007301086215578507,0.008057336508769853,0.010052900664206686,0.014860514854446687,0.0073803838319028755,0.02194280993192072,0.011431543172526643,0.02340013852259665,0.048663857850738484,0.034805328718597275,0.05851486638188353,0.009009054413482886,0.01637205372665309,0.010344369017306019,0.0197150222175628
2016-04-07,0.021112810138273423,0.015762938755737022,0.013377412316657676,0.013579639929185134,0.016320001426880223,0.02490403338345596,0.03211320243530025,0.07450385413259626,0.017129651567414292,0.014668899241171492,0.01023473708964408,0.00959500958754115,0.011812587417752356,0.012099254145471921,0.016611746917778253,0.008232074545578746,0.011002926302597365,0.007512494095812612,0.008185974530106783,0.009893718229052132,0.014731323861081787,0.007387237489544427,0.020441702942194925,0.011310414002447762,0.022511027687099255,0.046827032611407644,0.03382934131483587,0.05722598041202962,0.009439987409463365,0.015936485047233696,0.010277742604686533,0.01890407273860846
2016-04-08,0.02212168995777857,0.018015039802176246,0.01333506509286998,0.013661517868776719,0.017348083704889293,0.02532159050482665,0.031038528771035634,0.07363561031188558,0.017551113963090743,0.01567912697903423,0.010451574190777102,0.010218318703606937,0.013098541932661306,0.012798276451867768,0.017320607652135903,0.008166891719432851,0.011244836187004604,0.0076551549057330935,0.008694482722987174,0.009670009590152231,0.01512181850371026,0.007662918545833319,0.01819449737271905,0.011397741925803631,0.021700760270154138,0.049615850496633584,0.03397092422387127,0.05592016648993482,0.01051378441651776,0.016166400169375716,0.011925568050410618,0.01915579486181258
2016-04-11,0.021847340182140004,0.017015831417969186,0.013170129430157516,0.013462264286882748,0.016716613517684612,0.025574088898436452,0.03027144009500224,0.07189982331287409,0.017435928916975645,0.015603951761265056,0.010404186864623001,0.010479554389830378,0.013268200329463863,0.012707429403192274,0.017478756996047895,0.008105654613015226,0.0112512737802346,0.007784388176149948,0.008721251608654536,0.010000506792576615,0.014973895576463628,0.007666796314755154,0.01662026672801944,0.011282990299963824,0.021451092238554962,0.04851754639053944,0.03297119983482682,0.05456763319155542,0.010153655825156123,0.016044231878993214,0.011468871259097773,0.018447316425575348
2016-04-12,0.02164545945034,0.01612394093911981,0.013051724058044334,0.013291727672390093,0.016088476375982652,0.025232130942293454,0.03030696622846867,0.07014676017922122,0.01739153108032254,0.015515770220755827,0.010351569585645816,0.010706137312849546,0.013107285733444305,0.012631196250971565,0.01743213138754799,0.008048148247741185,0.011205309249365313,0.00810579601332711,0.008939058965423012,0.0102516714044106,0.014834506120508805,0.007661949274065509,0.01587926852616955,0.011178575080047246,0.021641761089552562,0.04719872548409648,0.032383047754986925,0.05388233179947184,0.009822614264900442,0.016510734556916904,0.011065983005646915,0.019205526117802976
2016-04-13,0.02156633856804131,0.015445361967924027,0.01294024837119282,0.01316243651379173,0.01550388864073544,0.024961728299742632,0.030461195770802484,0.06846430295101866,0.0172961320406733,0.015436152980175883,0.01034458430712186,0.010915029900958544,0.013172061577324841,0.01251009979521754,0.017174154830276896,0.007994166843970906,0.011334747443816882,0.008270963503265671,0.00897513249931937,0.010545792751379313,0.014724829918024884,0.0076408245502082965,0.015821428012992845,0.011091416519098474,0.02324786631674062,0.04699533408615837,0.03150238569713108,0.05258974240454479,0.009918573195210138,0.016349137161257698,0.01074397077153314,0.018541282079292135
2016-04-14,0.02212249503530563,0.014878773090150527,0.012862937347211835,0.013054815473923578,0.018313825613517843,0.02511047305369077,0.03250808046349536,0.06682750684430498,0.017710732383287926,0.015540279446667851,0.010384393079198816,0.011323309201056586,0.013310279012594652,0.012689336762949912,0.018835408230674307,0.007943513675280645,0.01147308167402806,0.008340691466239631,0.009046861721559593,0.010237828971072447,0.014694636307711671,0.007650459970755681,0.01763332939856837,0.011010251502980246,0.022923114739846377,0.045507915994401,0.030826175248453654,0.05161670201506366,0.010554244545785933,0.01638533903226046,0.011022984395782755,0.019606957102376036
2016-04-15,0.021826927768946004,0.014218221673898674,0.012706112140263497,0.012890526398217275,0.017396322869707756,0.024875304226623842,0.03408688130078354,0.06551420790246758,0.017648691817924576,0.016193263144626307,0.010433227467318219,0.011592202433702443,0.013137406957962094,0.012720813979898528,0.018101330343116374,0.00789600090133476,0.01144148465543708,0.008468601289311383,0.009194035166416203,0.010192592152955733,0.014580800209979821,0.007617249602790714,0.016389868970685104,0.01093751547683179,0.022315512012976244,0.04360913344094278,0.03490440958881929,0.062158639144361025,0.010168208503839411,0.016185649159748954,0.010766991213756696,0.01879646998342267
2016-04-18,0.02165183801040248,0.01645196316975772,0.012589352284868191,0.012745901419109282,0.019053551125984714,0.02461697003479769,0.03331646641676177,0.063990032126994,0.017521329428897427,0.016062819320211724,0.010489195492016858,0.011712181328506804,0.013061084130320701,0.013291107915315941,0.018716572192996585,0.007871753096862489,0.011383684920570333,0.008519173049963765,0.009468616794106549,0.010188138915794226,0.014463035677140038,0.007583754084982032,0.015071486078338685,0.01088594658320501,0.02149517935939131,0.04183428612748846,0.034882137592058805,0.06135747180392014,0.009805399251722165,0.015774062272039882,0.010477871301927599,0.01804992188108219
