Date,re_residual,z_score,is_shock,is_shock_exp,direction
2016-04-05,-0.7192604212918382,,False,False,down
2016-04-06,-0.1278252401562765,,False,False,down
2016-04-07,-1.1289957413555092,,False,False,down
2016-04-08,0.8464090022447902,,False,False,up
2016-04-11,1.4513380838570435,,False,False,up
2016-04-12,0.804815032596153,,False,False,up
2016-04-13,1.0447729203184932,,False,False,up
2016-04-14,0.7436792734880903,,False,False,up
2016-04-15,-0.2132105842787352,,False,False,down
2016-04-18,-0.9689140550571964,,False,False,down
2016-04-19,2.681334285614181,,False,False,up
2016-04-20,0.9397357135983376,,False,False,up
2016-04-21,1.55816124175011,,False,False,up
2016-04-22,-0.7554764215767227,,False,False,down
2016-04-25,-0.3812201772815914,,False,False,down
2016-04-26,-0.3749922112968801,,False,False,down
2016-04-27,-0.878529702428695,,False,False,down
2016-04-28,0.3599468986371429,,False,False,up
2016-04-29,0.3354602709034414,,False,False,up
2016-05-02,-0.1699764812912869,,False,False,down
2016-05-03,-0.4051573134465224,,False,False,down
2016-05-04,-0.804706395325371,,False,False,down
2016-05-05,0.0374911771037736,,False,False,up
2016-05-06,-0.7625780588664364,,False,False,down
2016-05-09,-2.2252058873221205,,False,False,down
2016-05-10,0.0302463904197354,,False,False,up
2016-05-11,1.566449052578183,,False,False,up
2016-05-12,0.1231629478829414,,False,False,up
2016-05-13,-0.807945110392254,,False,False,down
2016-05-16,0.4365087433863324,,False,False,up
2016-05-17,-0.0267890883856475,,False,False,down
2016-05-18,-1.5921736570384235,,False,False,down
2016-05-19,-0.3974523037469071,,False,False,down
2016-05-20,1.045861421406026,,False,False,up
2016-05-23,-0.6996595423548708,,False,False,down
2016-05-24,-0.530674203095492,,False,False,down
2016-05-25,0.0421404318949647,,False,False,up
2016-05-26,1.4640624877450508,,False,False,up
2016-05-27,0.9381354495201176,,False,False,up
2016-05-30,-0.3333938257434798,,False,False,down
2016-05-31,2.063947168597421,,False,False,up
2016-06-01,1.1825841908074497,,False,False,up
2016-06-02,0.2022589797852835,,False,False,up
2016-06-03,0.6202601237723963,,False,False,up
2016-06-06,1.6687098276876615,,False,False,up
2016-06-07,0.5121870331547255,,False,False,up
2016-06-08,-0.0982696483613752,,False,False,down
2016-06-09,-0.5561856664837765,,False,False,down
2016-06-10,-0.9319845780032046,,False,False,down
2016-06-13,-1.259184277476987,,False,False,down
2016-06-14,-1.170428378477162,,False,False,down
2016-06-15,1.0507191801279787,,False,False,up
2016-06-16,-0.9287322453649268,,False,False,down
2016-06-17,0.8459918828445739,,False,False,up
2016-06-20,0.2016503058509023,,False,False,up
2016-06-21,-0.1059674050028689,,False,False,down
2016-06-22,-0.3241465552865364,,False,False,down
2016-06-23,0.3905927880319721,,False,False,up
2016-06-24,-2.7579056126088437,,False,False,down
2016-06-27,-0.3826271216703826,,False,False,down
2016-06-28,0.594679235470373,0.5434098975813219,False,False,up
2016-06-29,1.740585638321314,1.6475246969594886,False,False,up
2016-06-30,0.415023958788997,0.30960719716989954,False,True,up
2016-07-01,0.7044628244760182,0.5691525624682118,False,True,up
2016-07-04,2.521679853274229,2.33929722046858,True,True,up
2016-07-05,-0.5657304093045797,-0.6593983012187768,False,True,down
2016-07-06,-0.0718252371054945,-0.17223808390165782,False,True,down
2016-07-07,-0.501760523339129,-0.5636425163039926,False,False,down
2016-07-08,0.3611184054008047,0.2749839930077851,False,False,up
2016-07-11,2.023091900618758,1.844038379837054,False,False,up
2016-07-12,0.6487096312552612,0.48243265673107055,False,False,up
2016-07-13,-0.0864297332133011,-0.17952539111305615,False,False,down
2016-07-14,0.3219019817468209,0.2380102502376083,False,False,up
2016-07-15,-0.4580887398545979,-0.5183275759714535,False,False,down
2016-07-18,-0.0211896247552124,-0.08595517538214978,False,False,down
2016-07-19,-1.4508203071473484,-1.531406974547632,False,False,down
2016-07-20,-0.195170379443524,-0.24487098537337806,False,False,down
2016-07-21,0.1370311026430971,0.0729343388831004,False,False,up
2016-07-22,-0.6060953213254419,-0.6638544139466847,False,False,down
2016-07-25,-0.7083761215550048,-0.7479218216540542,False,False,down
2016-07-26,0.4150364465203594,0.3755696207624908,False,False,up
2016-07-27,-0.8941895279892799,-0.9336628049613468,False,False,down
2016-07-28,0.5852092039989286,0.5314371085118268,False,False,up
2016-07-29,-0.3611425252628976,-0.4120855247870985,False,False,down
2016-08-01,-0.2458823534882294,-0.30627923444378663,False,False,down
2016-08-02,-0.4010077676307542,-0.5153697400120459,False,False,down
2016-08-03,-0.3938762894944714,-0.4994444613239232,False,False,down
2016-08-04,1.326934123769058,1.3380426641070977,False,False,up
2016-08-05,0.2112784312184105,0.13978222984522923,False,False,up
2016-08-08,0.7979592555286258,0.7363357936911915,False,False,up
2016-08-09,0.6335290039534804,0.5562111060779098,False,False,up
2016-08-10,-0.3184961230231721,-0.4459564260152499,False,False,down
2016-08-11,-0.8528783142746718,-1.0500736291111434,False,False,down
2016-08-12,0.5032584866523523,0.4015118133302158,False,False,up
2016-08-15,-0.4678565574314766,-0.6219092847784148,False,False,down
2016-08-16,0.4349250807538426,0.33795322777132963,False,False,up
2016-08-17,-0.6520031624246846,-0.8450275309330054,False,False,down
2016-08-18,0.9184562509097152,0.8483004001266792,False,False,up
2016-08-19,0.6742205858352192,0.604211076031811,False,False,up
2016-08-22,-1.3778410532642489,-1.6120730882174483,False,False,down
2016-08-23,-0.5276781999976226,-0.6591489686118782,False,False,down
2016-08-24,-0.4203887271915381,-0.5174670660149158,False,False,down
2016-08-25,-1.1691577681334944,-1.3278014262599038,False,False,down
2016-08-26,0.3348776716883285,0.3679085074681372,False,False,up
2016-08-29,0.1233434479161427,0.1411775535734942,False,False,up
2016-08-30,0.1107039717880744,0.16035145672611076,False,False,up
2016-08-31,-0.3161695688106522,-0.3174969899978503,False,False,down
