Date,crisis_prob,stress_prob,normal_prob,regime,re_residual
2016-04-10,0.6391600109764601,0.36083998902353853,1.3809788439385e-60,crisis,-0.2824181001397085
2016-04-17,0.043437941022209006,0.9565620589777897,6.224267662186134e-136,stress,0.7662789451962089
2016-04-24,0.054986277242553186,0.9450137227574456,5.573369947051708e-106,stress,0.6909681528657419
2016-05-01,0.6289172144455658,0.37108278555443297,6.395833828296595e-37,crisis,-0.18786698429331644
2016-05-08,0.8546605143025147,0.14533948569748417,8.269154825800199e-105,crisis,-0.4209854143651686
2016-05-15,0.7766641876293785,0.22333581237062047,4.937069975978779e-54,crisis,-0.262658521366703
2016-05-22,0.5764109238692567,0.42358907613074226,6.06785529744636e-21,crisis,-0.10680897687572392
2016-05-29,0.22651954654351547,0.7734696550685316,1.0798387952047583e-05,stress,0.24280092474195403
2016-06-05,0.08516880394841816,0.9148311960515807,1.6913874857691835e-126,stress,0.7471313274438142
2016-06-12,0.32186736735846044,0.6345935412723166,0.043539091369221745,stress,0.11889139359880614
2016-06-19,0.7638725324823497,0.23612746751764915,3.2717713938698054e-62,crisis,-0.29232676766930465
2016-06-26,0.839887610957569,0.16011238904242986,1.362833899945312e-145,crisis,-0.519155295803075
2016-07-03,0.09051236527007568,0.9094876347299232,8.482479073002362e-79,stress,0.6144249070772639
2016-07-10,0.1133709500076347,0.8866290499923642,1.011926337612924e-17,stress,0.348696417785166
2016-07-17,0.1334743491641931,0.8665256508358058,7.397631282532378e-44,stress,0.4898370081105883
2016-07-24,0.8235530813692366,0.17644691863076217,9.196469462321317e-108,crisis,-0.42724890600568594
2016-07-31,0.9242679151474391,0.07573208485255956,5.694320477903008e-36,crisis,-0.19269250485757886
2016-08-07,0.19832475323556872,0.09153692126288267,0.7101383255015477,normal,0.09948922887480267
2016-08-14,0.08274458535921891,0.09832129366347925,0.8189341209773005,normal,0.15267446176732294
2016-08-21,0.248175785702689,0.09822060364258922,0.6536036106547204,normal,0.18154843952852315
2016-08-28,0.9753013299871798,0.024698670012818787,8.02965365601192e-198,crisis,-0.632037615379715
2016-09-04,0.7311867439773992,0.26881325602259953,5.264962311948961e-20,crisis,-0.10474830664116659
2016-09-11,0.7525867724803228,0.24741322751967593,3.952638132770999e-30,crisis,-0.1607344028889437
2016-09-18,0.916955082819761,0.08304491718023758,3.7838573594204275e-180,crisis,-0.5952324211499962
2016-09-25,0.6549799627305759,0.34502003726942243,2.7974812965759714e-16,crisis,-0.07949534917943818
2016-10-02,0.5328890138363109,0.4614705332338515,0.005640452929836088,crisis,0.054883244574425616
2016-10-09,0.7731614156235461,0.22683858437645243,5.424020181470853e-65,crisis,-0.30151309216048733
2016-10-16,0.7383927170836937,0.2616072829163049,1.430058901469953e-72,crisis,-0.32509194747200787
2016-10-23,0.18522420456280383,0.8147757954371948,5.216285348085441e-40,stress,0.47589959163611867
2016-10-30,0.49046494907190624,0.5095350509280925,1.5221680158521413e-29,stress,-0.15307230453355986
2016-11-06,0.24564427445342235,0.7403887122795707,0.013967013267005609,stress,0.1673091830979215
2016-11-13,0.04985215754512071,0.9501478424548779,3.375489335312741e-168,stress,0.8409877860121344
2016-11-20,0.45294942764922114,0.5470505723507775,5.488043298766556e-43,stress,-0.20911795114826176
2016-11-27,0.040252864410170126,0.9597471355898286,1.7759752177021335e-186,stress,0.8774268885879929
2016-12-04,0.47172778589052267,0.5282722141094759,8.524471554249869e-40,stress,-0.1974283302807444
2016-12-11,0.17354683984811126,0.8264531601518874,1.9416885345291323e-54,stress,0.5342001494035025
2016-12-18,0.9303776458775572,0.06962235412244144,2.5823009108713047e-275,crisis,-0.7675740815820943
2016-12-25,0.7251826896240099,0.2748173103759889,4.096803813330463e-48,crisis,-0.2387560559010958
2017-01-01,0.27056519640184395,0.7286406718736396,0.0007941317245152975,stress,0.21550134210008198
2017-01-08,0.0965273092571334,0.9034726907428654,2.363467417790689e-33,stress,0.4397650242604471
