ticker,company,sector,subsector,delta_PPI,p_value_PPI,significant_PPI,r2,n_obs
KMB.OQ,Household Products,Consumer Staples,Household Products,-0.183591,0.1831,False,0.152,99
ISRG.OQ,Health Care Equipment,Health Care,Health Care Equipment,-0.182258,0.4175,False,0.1585,99
ALB.N,Specialty Chemicals,Materials,Specialty Chemicals,-0.181807,0.5842,False,0.3004,99
URI.N,Trading Companies & Distributors,Industrials,Trading Companies & Distributors,-0.180983,0.3647,False,0.5228,99
ECL.N,Specialty Chemicals,Materials,Specialty Chemicals,-0.180654,0.0584,False,0.558,99
EG.N,Reinsurance,Financials,Reinsurance,-0.178994,0.2868,False,0.2419,99
FTNT.OQ,Systems Software,Information Technology,Systems Software,-0.178776,0.5195,False,0.216,99
MDT.N,Health Care Equipment,Health Care,Health Care Equipment,-0.177188,0.1602,False,0.3783,99
HOOD.OQ,Investment Banking & Brokerage,Financials,Investment Banking & Brokerage,-0.177116,0.717,False,0.3286,56
LII.N,Building Products,Industrials,Building Products,-0.1765,0.2557,False,0.4724,99
ABT.N,Health Care Equipment,Health Care,Health Care Equipment,-0.173885,0.1746,False,0.4205,99
HWM.N,Aerospace & Defense,Industrials,Aerospace & Defense,-0.173853,0.4361,False,0.4035,99
KKR.N,Asset Management & Custody Banks,Financials,Asset Management & Custody Banks,-0.173758,0.2889,False,0.5842,99
MLM.N,Construction Materials,Materials,Construction Materials,-0.171336,0.1893,False,0.3584,99
DASH.OQ,Restaurants,Consumer Discretionary,Restaurants,-0.170724,0.6255,False,0.3336,63
LULU.OQ,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",-0.170227,0.5348,False,0.2638,99
APO.N,Diversified Financial Services,Financials,Diversified Financial Services,-0.170019,0.3267,False,0.5219,99
ADSK.OQ,Application Software,Information Technology,Application Software,-0.16988,0.2532,False,0.5271,99
TAP.N,Brewers,Consumer Staples,Brewers,-0.169248,0.3197,False,0.2441,99
GRMN.N,Consumer Electronics,Consumer Discretionary,Consumer Electronics,-0.168227,0.2634,False,0.3996,99
ETN.N,Electrical Components & Equipment,Industrials,Electrical Components & Equipment,-0.166829,0.1208,False,0.5691,99
TRMB.OQ,Application Software,Information Technology,Application Software,-0.166583,0.3008,False,0.6362,99
ALGN.OQ,Health Care Supplies,Health Care,Health Care Supplies,-0.163391,0.6077,False,0.3513,99
MDLZ.OQ,Packaged Foods & Meats,Consumer Staples,Packaged Foods & Meats,-0.163033,0.205,False,0.265,99
NDSN.OQ,Industrial Machinery & Supplies & Components,Industrials,Industrial Machinery & Supplies & Components,-0.161521,0.2159,False,0.4833,99
CRL.N,Life Sciences Tools & Services,Health Care,Life Sciences Tools & Services,-0.161495,0.4245,False,0.43,99
CHD.N,Household Products,Consumer Staples,Household Products,-0.161482,0.2403,False,0.1778,99
CCL.N,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,"Hotels, Resorts & Cruise Lines",-0.160981,0.5641,False,0.4877,99
SYY.N,Food Distributors,Consumer Staples,Food Distributors,-0.160762,0.3378,False,0.4527,99
EFX.N,Research & Consulting Services,Industrials,Research & Consulting Services,-0.160536,0.3987,False,0.5142,99
SJM.N,Packaged Foods & Meats,Consumer Staples,Packaged Foods & Meats,-0.159957,0.3078,False,0.0712,99
SWK.N,Industrial Machinery & Supplies & Components,Industrials,Industrial Machinery & Supplies & Components,-0.159774,0.3951,False,0.4471,99
CAH.N,Health Care Distributors,Health Care,Health Care Distributors,-0.159364,0.3287,False,0.2487,99
AON.N,Insurance Brokers,Financials,Insurance Brokers,-0.15777,0.1423,False,0.4513,99
BSX.N,Health Care Equipment,Health Care,Health Care Equipment,-0.15648,0.2392,False,0.4041,99
