Date,AMD.O,ALB.N,AME.N,APH.O,ADI.O,AAPL.O,AMAT.O,APTV.N,AXON.N,BA.N,AVGO.O,CAT.N,COHR.O,GLW.O,CMI.N,DELL.O,DOV.N,DD.N,ETN.N,ECL.N,EMR.N,FSLR.O,F.N,FTV.N,FCX.N,GE.N,GEV.N,GNRC.N,GD.N,GM.N,HPE.O,HWM.N,HPQ.O,HUBB.N,HII.N,IEX.N,ITW.N,IR.N,INTC.O,IFF.N,JBL.N,KEYS.O,KLAC.O,LHX.N,LRCX.O,LMT.N,LYB.N,MCHP.O,MU.O,MPWR.O,NTAP.O,NDSN.N,NOC.N,NUE.N,NVDA.O,NXPI.O,ON.O,OTIS.N,PCAR.N,PH.N,PNR.N,PPG.N,QCOM.O,Q.N,RTX.N,ROK.N,ROP.N,SNDK.O,STX.O,SHW.N,SWKS.O,SNA.N,SWK.N,STLD.N,SMCI.O,TEL.N,TDY.N,TER.O,TSLA.O,TXN.O,TXT.N,TDG.N,TRMB.N,VRT.N,GWW.N,WAB.N,WDC.O,XYL.N,ZBRA.N,ABT.N,A.N,ALGN.O,ANET.O,BAX.N,BDX.N,TECH.N,BSX.N,BR.N,CRL.N,CIEN.O,CSCO.O,COO.N,DHR.N,DXCM.O,EW.N,FFIV.O,GEHC.N,HOLX.O,IDXX.O,PODD.O,ISRG.O,IQV.N,LITE.O,MDT.N,MTD.N,MSI.N,RMD.N,RVTY.N,STE.N,SYK.N,TMO.N,WAT.N,WST.N,ZBH.N,ACN.N,ADBE.O,AFL.N,ABNB.O,ALL.N,GOOGL.O,GOOG.O,MO.N,AMZN.O,AXP.N,AIG.N,APP.O,ACGL.N,AIZ.N,ADSK.O,BAC.N,BKNG.N,BF.B.N,CDNS.O,COF.N,CCL.N,SCHW.N,CMG.N,CB.N,CINF.N,C.N,CFG.N,CTSH.N,STZ.N,DRI.N,DDOG.O,DPZ.N,EBAY.O,EPAM.N,EXPE.N,FICO.N,FITB.N,IT.N,GL.N,GS.N
2015-11-30,2.36,53.56,56.46,,61.63,29.575,18.77,73.60697,,145.45,13.045,72.65,,,100.37,,53.193096,,58.16,119.16,50.0,56.51,12.971305,,8.18,143.288069,,32.1,146.46,36.2,,16.135021,,99.29,130.92,78.8,93.98,,34.77,120.01,25.59,,66.47,83.13,7.82,219.16,91.496697,24.14,15.93,68.33,30.66,,186.36,41.45,0.793,93.46,10.96,,,104.66,38.075297,105.74,48.79,,56.651693,106.44,,,35.94,92.023241,83.02,172.16,109.16,,2.456,67.09,92.51,20.78,15.350651,58.12,42.67,146.631765,,,200.54,80.12,47.158494,37.32,,44.92,41.82,66.74,,37.65,115.115761,,18.28,54.98,76.57,,27.25,,64.755685,21.255,27.16664,103.0,,40.35,70.82,36.59,57.779884,67.99,20.0,75.34,342.78,71.78,59.57,53.16,76.38,96.46,138.4,132.82,63.05,97.992124,107.22,91.46,32.62,,62.76,38.1425,37.13,57.6,33.24,71.64,63.58,,,85.52,63.47,17.43,,,22.3,78.221319,50.53,33.71,11.591,114.85,,54.09,26.63,,140.26,56.17,,,29.59,78.73,,95.25,,93.3,60.62,190.02
2015-12-31,2.87,56.01,53.59,,55.32,26.315,18.67,71.806162,,144.59,14.515,67.96,,,88.01,,49.488144,,52.04,114.38,47.83,65.99,12.754061,,6.77,149.078936,,29.77,137.36,34.01,,17.014173,,101.04,126.85,76.61,92.68,,34.45,119.64,23.29,,69.35,86.9,7.942,217.15,82.979159,23.27,14.16,63.71,26.53,,188.81,40.3,0.824,84.25,9.8,,,96.98,33.260485,98.82,49.985,,56.663489,102.61,,,36.66,86.533247,76.83,171.43,106.73,,2.451,64.61,88.7,20.67,16.000651,54.81,42.01,142.769581,,,202.59,71.12,45.375221,36.5,,44.91,41.81,65.85,,38.15,118.057821,,18.44,53.73,80.39,,27.155,,62.397635,20.475,26.32664,96.96,,38.69,72.92,37.81,60.684323,68.66,22.02,76.92,339.13,68.45,53.69,53.57,75.34,92.94,141.85,134.58,60.22,99.524919,104.5,93.94,29.95,,62.09,38.9005,37.944,58.21,33.7945,69.55,61.97,,,80.54,60.93,16.83,,,20.81,71.914594,54.48,32.93,9.597,116.85,,51.75,26.19,,142.44,63.64,,,27.48,78.62,,94.18,,90.7,57.16,180.23
2016-01-31,2.2,52.64,47.05,,53.86,24.335,17.65,54.39277,,120.13,13.371,62.24,,,89.89,,47.179613,,50.51,107.87,45.98,68.66,11.032895,,4.6,139.267963,,28.42,133.77,29.64,,12.566699,,90.43,127.88,72.51,90.07,,31.02,116.96,19.91,,66.99,86.97,7.179,211.0,74.452072,22.405,11.03,62.57,21.93,,185.06,39.07,0.73225,74.78,8.56,,,97.16,31.642117,95.12,45.34,,51.720843,95.57,,,29.05,85.223248,68.92,161.56,94.34,,2.978,57.16,81.25,19.43,12.746654,52.93,34.22,140.444771,,,196.69,63.95,36.25484,35.95,,37.85,37.65,66.14,,36.6,111.376893,,17.53,53.56,74.23,,23.79,,58.212264,17.82,26.069974,93.78,,33.94,70.14,33.18,60.094324,60.83,19.73,75.92,312.85,66.77,56.7,48.32,69.24,99.15,132.06,121.21,57.22,96.294409,105.54,89.13,28.98,,60.6,38.0675,37.1475,61.11,29.35,53.5,56.48,,,81.31,46.82,14.14,,,19.56,65.378715,48.13,25.53,9.0594,113.07,,42.58,21.25,,152.48,63.06,,,23.46,74.9,,95.57,,87.89,54.34,161.56
2016-02-29,2.14,56.22,46.41,,52.99,24.1725,18.87,55.850168,,118.18,13.397,67.7,,,97.57,,49.06034,,56.71,102.55,48.83,71.87,11.559591,,7.63,139.459396,,34.74,136.27,29.44,,15.393775,,99.36,131.06,75.16,94.25,,29.59,103.29,20.85,,67.74,78.02,7.33,215.79,76.591005,22.245,10.63,59.06,24.84,,192.22,39.34,0.784,71.24,8.39,,,101.2,32.038315,96.53,50.79,,56.987887,104.09,,,31.36,90.166577,66.45,144.67,94.01,,3.247,56.92,85.18,19.08,12.795321,53.02,34.15,133.47659,,,216.9,70.6,32.892313,37.41,,38.74,37.35,66.03,,39.51,112.970509,,16.98,56.13,73.43,,26.18,,59.972404,16.265,28.999971,96.17,,34.63,73.16,30.64,62.562097,62.71,24.03,77.39,314.91,73.49,56.91,47.26,64.32,99.88,129.19,120.31,62.02,93.917608,100.26,85.15,29.76,,63.46,35.861,34.8885,61.57,27.626,55.58,50.2,,,71.1,51.74,12.52,,,21.55,65.488311,47.96,25.05,10.1832,115.53,,38.85,19.23,,141.43,63.88,,,23.8,68.38,,99.52,,82.4,51.22,149.53
2016-03-31,2.85,63.93,49.98,,59.19,27.2475,21.18,62.835627,,126.94,15.45,76.54,,,109.94,,51.925825,,62.56,111.52,54.38,68.47,12.474379,,10.34,152.141874,,37.24,131.37,31.43,,16.514263,,105.93,136.94,82.88,102.44,,32.35,113.77,19.27,,72.81,77.86,8.26,221.5,81.718716,24.1,10.47,63.64,27.29,,197.9,47.3,0.89075,81.07,9.59,,,111.08,36.436784,111.49,51.14,,59.040442,113.75,,,34.45,94.889905,77.9,156.99,105.21,,3.408,61.92,88.14,21.59,15.317985,57.42,36.46,137.701245,,,233.43,79.29,35.695678,40.9,,41.83,39.85,72.69,,41.08,116.318635,,18.81,59.31,75.94,,28.47,,63.727817,16.9775,29.403304,105.85,,34.5,78.32,33.16,66.7832,65.1,26.97,75.0,344.76,75.7,57.82,49.46,71.05,107.29,141.59,131.92,69.32,103.444215,115.4,93.8,31.57,,67.37,38.145,37.2475,62.66,29.682,61.4,54.05,,,77.15,58.31,13.52,,,23.58,69.055147,52.77,28.02,9.4194,119.15,,41.75,20.95,,151.09,66.3,,,23.86,74.67,,106.09,,89.35,54.16,156.98
2016-04-30,3.55,66.16,48.09,,56.32,23.435,20.47,61.671384,,134.8,14.575,77.72,,,117.03,,53.03166,,63.27,114.98,54.63,55.84,12.529821,,14.0,147.1646,,38.12,140.52,31.8,,19.255148,,105.76,144.77,81.9,104.52,,30.28,119.47,17.36,,69.94,80.01,7.64,232.38,78.940012,24.295,10.75,62.42,23.64,,206.26,49.78,0.88825,85.28,9.47,,,116.02,39.001998,110.39,50.52,,61.55895,113.47,,,21.77,95.769904,66.82,159.28,111.92,,2.691,59.48,92.95,18.91,16.050651,57.04,38.68,142.40711,,,234.52,82.93,30.878575,41.78,,38.9,40.92,72.19,,44.22,123.551199,,21.92,59.84,79.27,,27.49,,64.997537,16.095,35.403298,104.75,,33.59,84.35,33.3,69.595416,69.07,25.3,79.15,357.95,75.19,55.8,50.42,70.67,109.01,144.25,130.16,71.2,112.31114,112.92,94.22,34.485,,65.05,35.394,34.6505,62.71,32.9795,65.43,55.82,,,84.57,59.82,14.56,,,23.19,72.123822,49.05,28.41,8.4194,117.86,,46.28,22.85,,156.06,62.25,,,24.43,72.93,,106.71,,87.17,57.89,164.11
2016-05-31,4.57,78.5,47.82,,58.5,24.965,24.42,56.922277,,126.15,15.436,72.51,,,114.47,,53.879198,,61.63,117.24,52.02,49.65,12.465139,,11.08,144.675963,,37.91,141.87,31.28,,15.979877,,106.27,153.41,83.34,106.03,,31.59,129.0,19.08,,72.93,78.77,8.281,236.23,77.689118,25.84,12.72,68.33,25.53,,212.67,48.51,1.168,94.49,9.77,,,114.84,40.452485,107.68,54.92,,59.323553,116.05,,,22.56,97.029903,66.76,161.82,113.18,,2.624,60.0,98.13,19.81,14.881985,60.6,38.06,164.699038,,,228.35,77.38,35.166741,44.66,,39.63,45.89,78.83,,43.16,127.527577,,22.71,64.19,85.93,,29.05,,66.079149,16.1225,32.833301,110.2,,34.41,87.57,30.02,70.523192,67.89,25.34,80.48,375.32,69.27,59.06,54.75,69.43,111.16,151.77,137.55,75.08,118.46172,118.97,99.47,34.73,,67.51,37.4425,36.786,63.64,36.1395,65.76,57.88,,,87.39,58.27,14.79,,,24.72,72.970697,47.74,30.58,8.8392,126.61,,46.57,23.55,,153.15,67.83,,,24.46,76.51,,111.43,,101.62,61.63,159.48
2016-06-30,5.14,79.31,46.23,,56.64,23.9,23.97,52.432821,,129.87,15.54,75.81,,,112.44,,55.953648,,59.73,118.6,52.16,48.48,11.615033,31.03022,11.14,150.658264,,34.96,139.24,28.3,,15.979877,,105.47,168.03,82.1,104.16,,32.8,126.07,18.47,,73.25,83.44,8.406,248.17,71.062244,25.38,13.76,68.32,24.59,,222.28,49.41,1.17525,78.34,8.82,,,108.05,39.143017,104.15,53.57,,60.485488,114.82,,,24.36,97.889902,63.28,157.82,111.22,,2.485,57.11,99.05,19.69,14.151986,62.65,36.56,164.792781,,,227.25,70.23,35.71079,44.65,,39.31,44.36,80.55,,45.22,129.933324,,23.37,65.2,82.44,,28.69,,67.852725,19.8325,33.2433,113.84,,34.6,92.86,30.24,73.489853,65.32,24.2,86.77,364.92,65.97,63.23,52.42,68.75,119.83,147.76,140.65,75.88,116.783407,113.29,95.79,36.08,,69.95,35.1765,34.605,68.96,35.781,60.76,52.89,,,86.31,54.14,13.27,,,24.3,63.276474,44.2,25.31,8.0552,130.71,,42.39,19.98,,165.4,63.34,,,23.41,64.31,,113.01,,97.41,61.82,148.58
2016-07-31,6.86,84.17,47.03,,63.83,26.0525,26.29,56.805015,,133.66,16.198,82.76,,,122.77,,57.656796,,63.41,118.38,55.9,46.68,11.698195,30.368797,12.96,149.031078,,37.79,146.89,31.54,,18.307043,,107.83,172.58,89.79,115.4,,34.86,133.25,20.35,,75.71,86.62,8.977,252.73,71.864344,27.82,13.74,72.72,26.35,,216.63,53.64,1.4275,84.09,10.03,,,114.19,42.856534,104.71,62.58,,63.493542,114.4,,,32.03,99.9099,66.02,157.17,121.7,,2.155,60.28,105.0,19.75,15.652651,69.75,39.0,174.685722,,,218.85,68.5,35.899696,47.81,,44.75,48.11,89.15,,48.02,134.844419,,24.28,67.68,87.93,,30.53,,72.187602,23.0575,38.173295,123.42,,38.49,93.79,35.39,77.306512,77.64,30.25,87.63,411.21,69.38,68.88,56.92,70.95,116.28,158.84,158.93,80.28,127.22193,112.81,97.86,36.14,,68.33,39.567,38.4395,67.7,37.9405,64.46,54.44,,,83.01,59.45,14.49,,,24.05,66.833347,46.72,28.42,8.4798,125.26,,43.81,22.33,,164.63,61.56,,,31.16,70.24,,126.64,,100.25,61.87,158.81
2016-08-31,7.4,79.97,48.75,,62.56,26.525,29.84,59.183756,,129.45,17.642,81.95,,,125.61,,58.520478,,66.54,123.05,52.68,37.82,11.642754,33.178272,10.29,149.509662,,37.3,152.22,31.92,,17.376176,,108.31,165.17,93.44,118.85,,35.89,138.58,21.19,,69.26,92.98,9.332,242.97,75.330562,30.955,16.49,76.72,34.59,,212.07,48.51,1.5335,88.02,10.8,,,122.53,43.010984,105.88,63.07,,62.773968,115.93,,,33.74,94.569905,74.86,153.29,123.75,,2.163,63.57,107.14,21.06,14.133986,69.54,40.85,178.229182,,,230.66,76.61,35.264972,50.86,,42.02,46.98,92.9,,46.73,135.771475,,23.82,69.3,83.21,,31.44,,72.16101,22.7725,38.386628,122.73,,38.42,112.68,42.33,76.268736,77.3,35.12,87.03,403.07,76.99,66.69,53.25,70.68,115.66,152.19,157.31,81.83,125.737642,115.0,102.31,37.09,,68.96,39.4925,38.3525,66.09,38.458,65.58,59.83,,,89.55,67.4,16.14,,,25.44,71.336727,47.8,31.46,8.2746,126.93,,47.74,24.77,,164.05,61.64,,,32.16,68.21,,127.94,,91.0,64.68,169.46
