Date,re_return,rolling_mean,rolling_std,z_score,is_event,direction
2015-02-28,0.031253122746033535,,,,False,up
2015-03-31,-0.008955330381668647,,,,False,down
2015-04-30,-0.014908019946790318,,,,False,down
2015-05-31,-0.026420084031149083,,,,False,down
2015-06-30,-0.06682053103661326,,,,False,down
2015-07-31,-0.07443597003149623,,,,False,down
2015-08-31,-0.04770630323879699,,,,False,down
2015-09-30,0.01361725780585552,,,,False,up
2015-10-31,-0.0022554004559713903,,,,False,down
2015-11-30,-0.010819499283047106,,,,False,down
2015-12-31,-0.010368384104218097,,,,False,down
2016-01-31,-0.02124005143828365,,,,False,down
2016-02-29,-0.00778210116731517,-0.01992159944967881,0.03069289772504858,0.39551489700031006,False,down
2016-03-31,-0.025502538421933063,-0.023174534775791202,0.026567461038358987,-0.08762612440762071,False,down
2016-04-30,-0.007277505355786506,-0.024553468779146565,0.026189078511018586,0.6596628978790341,False,down
2016-05-31,-0.003926052396856816,-0.023917592563229586,0.026534914104907992,0.7534051207904632,False,down
2016-06-30,-0.007109244370741919,-0.022043089927038562,0.02712991040628395,0.5504568696562153,False,down
2016-07-31,-0.013703257367382472,-0.017067149371549285,0.023388484196325943,0.1438268498261739,False,down
2016-08-31,-0.002091214196413449,-0.012006089982873136,0.014862996892508015,0.6670845629697651,False,down
2016-09-30,0.0029820572665087306,-0.00820483256267451,0.009910509951748811,1.1287905348613467,False,up
2016-10-31,0.024040183974824502,-0.009091099274286741,0.008089935016760492,4.095370751491924,True,up
2016-11-30,0.06897885143371454,-0.006899800571720418,0.01247998836567486,6.08002586077185,True,up
2016-12-31,0.047046682539879356,-0.0002499380119902808,0.0250903982596311,1.885048617501101,True,up
2017-01-31,0.010632647054231992,0.004534650875017841,0.028259654516948122,0.2157845268616787,False,up
2017-02-28,0.06667760417249886,0.007190709082727478,0.02709056082378549,2.195853215321476,True,up
2017-03-31,-0.0012848457598477303,0.013395684527711981,0.03151531855605056,-0.46582204972639335,False,down
2017-04-30,-0.010767028467937445,0.015413825582885758,0.02950953596511954,-0.887199787952245,False,down
2017-05-31,-0.022001232143127436,0.01512303199020651,0.029769517249182566,-1.2470563033518232,False,down
2017-06-30,0.04205171990775323,0.013616767011350625,0.031241847068782188,0.9101559467274802,False,up
2017-07-31,0.042688565297019164,0.017713514034558554,0.031499151583531095,0.7928801255560952,False,up
2017-08-31,0.11647990582819281,0.022412832589925363,0.030579105428570463,3.076187871420834,True,up
2017-09-30,-0.018039201441613705,0.03229375925864255,0.03972916491542064,-1.2669020556412403,False,down
2017-10-31,-0.014648032713600222,0.030541987699632345,0.04156033796529176,-1.0873352485961991,False,down
2017-11-30,0.02262389583962434,0.027317969642263618,0.04356292376211634,-0.10775387410340417,False,up
2017-12-31,0.024750981710110254,0.023455056676089436,0.0415411643509468,0.031196165400483793,False,up
2018-01-31,0.09765485899777335,0.02159708160694201,0.04088347237349985,1.860355125807049,True,up
2018-02-28,0.04268476419471989,0.028848932602237125,0.046141616010573185,0.2998558088930465,False,up
2018-03-31,0.04497862444472296,0.02684952927075554,0.0448553092911384,0.4041683238944693,False,up
2018-04-30,-0.03025525382604812,0.030704818454469766,0.044200728567446536,-1.3791644223125876,False,down
2018-05-31,-0.03356493847877691,0.029080799674627206,0.046176849321776875,-1.3566481705338125,False,down
2018-06-30,-0.02909499297210185,0.02811715747998975,0.04744306329691919,-1.2059118125242725,False,down
2018-07-31,-0.04418942838608941,0.022188264740001833,0.04992405478213195,-1.3295733572876403,False,down
2018-08-31,-0.011196228010409004,0.014948431933076115,0.052892066235898205,-0.4943021100155198,False,down
2018-09-30,0.01218945674121632,0.004308754113192631,0.04241542118857217,0.1857980519157725,False,up
2018-10-31,-0.042367563058879364,0.0068278089617618,0.04186154039766018,-1.1751925885505854,False,down
2018-11-30,-0.04293567704537491,0.004517848099655205,0.04387090155059789,-1.0816628669073567,False,down
2018-12-31,-0.03356845948636855,-0.0009454496407613998,0.045464324324390924,-0.7175518459889526,False,down
2019-01-31,-0.01543283661380721,-0.0058054030738013,0.04558466355711412,-0.2111989601051561,False,down
2019-02-28,-0.012847857772577843,-0.01522937770809968,0.03188117589584759,0.07469987754849476,False,down
2019-03-31,-0.0031728901354258765,-0.01985709620537449,0.02624212021039465,0.6357796525655692,False,down
2019-04-30,-0.024239517412767374,-0.02386972242038689,0.017726753368272122,-0.020860841503123367,False,down
2019-05-31,0.10578836950638779,-0.0233684110526135,0.01761446103923296,7.3324287510885755,True,up
2019-06-30,-0.008276084243895986,-0.011755635387183107,0.040868066777770475,0.08514107511392652,False,down
2019-07-31,-0.04475467398836393,-0.010020726326499285,0.04050535626195889,-0.8575149280808934,False,down
2019-08-31,0.04501245078095173,-0.010067830126688828,0.04054900855139768,1.3583631974089783,False,up
2019-09-30,0.024409427980723652,-0.0053837735607421,0.043542792401831856,0.6842280868558247,False,up
2019-10-31,-0.056614668959063794,-0.004365442624116489,0.044130071103630326,-1.183982373657428,False,down
2019-11-30,-0.02117735757083099,-0.0055527014491318595,0.04541825866781048,-0.34401706670389975,False,down
2019-12-31,0.0049337165901583106,-0.003739508159586532,0.044208381969739814,0.1961895994221543,False,up
2020-01-31,0.006189911714533536,-0.0005309934865426268,0.04323310504865138,0.1554573790967118,False,up
2020-02-29,0.02060207880997065,0.0012709022074857688,0.043005558620264776,0.44950413906205555,False,up
2020-03-31,-0.015552629333036205,0.004058396922698143,0.043091205893235236,-0.4551050695662482,False,down
2020-04-30,-0.024748127944202735,0.0030267519895639493,0.04342695185516025,-0.6395770079927059,False,down
2020-05-31,0.03504678223845916,0.0029843677786110024,0.04345622099297496,0.7378095408947616,False,up
