regime,mean,variance,std,n_days,pct_days
normal,0.13442014234586436,0.0006445665148093167,0.02538831453266082,23,4.397705544933078
stress,0.3298193166272885,0.17372995074774533,0.416809249834676,250,47.801147227533455
crisis,-0.32696856117362055,0.17688024489289955,0.42057133151571274,250,47.801147227533455
